Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Fill_Rate
10,LGBM_MinT,95%,BU_OR,0.8423839197863469,10.206216107441803,44.6089301419972,0.9595587324637356
10,LGBM_MinT,99%,BU_OR,0.9243663027690577,17.254264839846073,109.03448165383077,0.9800854883435806
11,LGBM_MinT,90%,BU_OR,0.7253314904184042,2.755660122835605,14.491155839135132,0.8668091831971408
11,LGBM_MinT,95%,BU_OR,0.7973847787721189,3.793670274379185,22.310009913405462,0.9032055980350013
11,LGBM_MinT,99%,BU_OR,0.8857705102375485,6.035488540860013,64.46745304816437,0.9452887530923698
12,LGBM_MinT,90%,BU_OR,0.6928196598416343,1.1092088418185804,6.8899439964516365,0.7057122608803797
12,LGBM_MinT,95%,BU_OR,0.7450089022161833,1.4076052618888197,11.813582385947866,0.7560073681852307
12,LGBM_MinT,99%,BU_OR,0.8218186290587077,2.03584363439218,41.63474605573275,0.8287407535989966
10,LGBM,90%,TDFP_OR,0.3127254837651689,1.0970685089938539,82.88817462149262,0.777972646066152
10,LGBM,95%,TDFP_OR,0.3824087522841213,1.5509108401492502,151.2890218394504,0.8041193310589719
10,LGBM,99%,TDFP_OR,0.5125216698683409,2.7292269241235014,589.0491703097518,0.8501450954247038
11,LGBM,90%,TDFP_OR,0.4114854206687594,0.7823467078113531,31.461771892172333,0.6812755087539035
11,LGBM,95%,TDFP_OR,0.45688281872276626,0.9797647383133389,59.39686250446157,0.7081320120462524
11,LGBM,99%,TDFP_OR,0.5405441284417999,1.4284637700504017,248.61026876739396,0.755871658587186
12,LGBM,90%,TDFP_OR,0.5040516797076324,0.5457386519149829,12.315482170079147,0.5353928633409715
12,LGBM,95%,TDFP_OR,0.5282270533664433,0.6198159823797097,24.174807639209337,0.5583161723783528
12,LGBM,99%,TDFP_OR,0.5729970013587593,0.773764848740464,109.61445399414298,0.6003603628716915
10,LGBM_BU,90%,TDFP_OR,0.358747598744319,1.3095544830652426,82.78796872230805,0.8087103922329696
10,LGBM_BU,95%,TDFP_OR,0.4241788876915148,1.796227921363432,151.15465742664756,0.8323765490945416
10,LGBM_BU,99%,TDFP_OR,0.5461861031720001,3.030789604396642,588.574768303386,0.8728157930844739
11,LGBM_BU,90%,TDFP_OR,0.43764934638991704,0.8346817222981155,31.17946162559001,0.7074661447633572
11,LGBM_BU,95%,TDFP_OR,0.4830662668478346,1.0400968481844832,58.77061575575262,0.7339714158646309
11,LGBM_BU,99%,TDFP_OR,0.5658529728716676,1.5054719388682645,245.21725443733098,0.7803449329797274
12,LGBM_BU,90%,TDFP_OR,0.5106732886660732,0.5441045892237623,11.99713914048595,0.5443540917285402
12,LGBM_BU,95%,TDFP_OR,0.535644005060207,0.6201563778814998,23.485603871822732,0.5679962925747641
12,LGBM_BU,99%,TDFP_OR,0.5818910181324088,0.7785663248812893,105.9307259100595,0.6112454294065937
10,LGBM_TD,90%,TDFP_OR,0.3127254837651689,1.0970685089938539,82.88817462149262,0.777972646066152
10,LGBM_TD,95%,TDFP_OR,0.3824087522841213,1.5509108401492502,151.2890218394504,0.8041193310589719
10,LGBM_TD,99%,TDFP_OR,0.5125216698683409,2.7292269241235014,589.0491703097518,0.8501450954247038
11,LGBM_TD,90%,TDFP_OR,0.4108841306283091,0.7668485212107804,31.239822704413015,0.6785791981273555
11,LGBM_TD,95%,TDFP_OR,0.45735135641662367,0.9648045658291227,58.93852537629155,0.7060345516880115
11,LGBM_TD,99%,TDFP_OR,0.5425510315638226,1.4149006869060632,246.36040294420863,0.7547582028257291
12,LGBM_TD,90%,TDFP_OR,0.5039579721688608,0.5251098314960618,12.027444287519351,0.5246848518557056
12,LGBM_TD,95%,TDFP_OR,0.5283535585437849,0.5996886088896535,23.57625515656489,0.5480834445054313
12,LGBM_TD,99%,TDFP_OR,0.5737408049477581,0.7548314123383376,106.61388030364785,0.5911675667052338
10,LGBM_MinT,90%,TDFP_OR,0.30712645832357216,1.1023344756619997,82.57361188853329,0.7795574010666911
10,LGBM_MinT,95%,TDFP_OR,0.3734831092161364,1.5429767373650296,151.30023547976117,0.8047693970861499
