Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Fill_Rate
11,ETS_TD,90%,TDFP_OR,0.4172132939761671,0.7928973391665288,29.23736700050024,0.6844813221923375
11,ETS_TD,95%,TDFP_OR,0.4685728341845102,1.0209423588972646,54.29619547981582,0.7132713749164129
11,ETS_TD,99%,TDFP_OR,0.5617064142810289,1.5468954157616732,220.03801313576554,0.7639943940999638
12,ETS_TD,90%,TDFP_OR,0.5272466382420465,0.49008140884780343,11.041119964030683,0.5279811399121667
12,ETS_TD,95%,TDFP_OR,0.5515040059972826,0.575166776839429,21.39765595817949,0.5539457338401311
12,ETS_TD,99%,TDFP_OR,0.597738134282903,0.7535868770788592,94.67371092341497,0.6012113495005283
10,ETS_MinT,90%,TDFP_OR,0.28425010542098106,1.03587005857955,84.8513435319183,0.7764667377783787
10,ETS_MinT,95%,TDFP_OR,0.35109872089209576,1.4382821957063199,155.13954784639316,0.7996671038307267
10,ETS_MinT,99%,TDFP_OR,0.4780490090427775,2.500870884722907,604.3333900196924,0.842464272896791
11,ETS_MinT,90%,TDFP_OR,0.3896242327695263,0.6835017293045127,31.327686565308067,0.6779897764914108
11,ETS_MinT,95%,TDFP_OR,0.4376220150244421,0.8662898042054848,59.06356832256191,0.7043849521617719
11,ETS_MinT,99%,TDFP_OR,0.5242273032532133,1.287892348542971,246.41706664979571,0.7514990412680271
12,ETS_MinT,90%,TDFP_OR,0.5096085367567821,0.4502185003933492,11.60481780401038,0.5213763279194787
12,ETS_MinT,95%,TDFP_OR,0.5330600196785832,0.5222406599486975,22.703791151822557,0.5450005030115919
12,ETS_MinT,99%,TDFP_OR,0.5761268331537273,0.6727405906777439,102.27603572030915,0.5884365333606102
10,ETS,90%,WLS_VAR_OR,0.5366747879866934,3.0670296622241495,49.73979183940223,0.8575857113892076
10,ETS,95%,WLS_VAR_OR,0.6490652673007543,4.741736978843359,77.16952490629524,0.8938774661281068
10,ETS,99%,WLS_VAR_OR,0.8001686735697886,8.787169506397397,219.43581247704697,0.9409627227152549
11,ETS,90%,WLS_VAR_OR,0.5663917912196036,1.4794118447864455,21.061628009970978,0.7723462399693501
11,ETS,95%,WLS_VAR_OR,0.643185119242843,2.049520697780603,35.41013846217959,0.8138698817414518
11,ETS,99%,WLS_VAR_OR,0.75718814911993,3.347799574072964,118.64999385677223,0.8747913016658239
12,ETS,90%,WLS_VAR_OR,0.6108923300379515,0.7606547780847871,8.664894218225145,0.621206540787824
12,ETS,95%,WLS_VAR_OR,0.6532329100876165,0.9448997761810446,15.826889486900013,0.6634531889989372
12,ETS,99%,WLS_VAR_OR,0.7236681816052101,1.3351200407833599,62.777108398037484,0.7320955980962744
10,ETS_MinT,90%,WLS_VAR_OR,0.49032469662184325,2.4917971777461982,57.24717427607699,0.8488486171727038
10,ETS_MinT,95%,WLS_VAR_OR,0.602797170032329,3.83679249752299,91.75587194266177,0.8841876665124417
10,ETS_MinT,99%,WLS_VAR_OR,0.7618657170969405,7.206962959044789,277.46365348333876,0.9324567554804714
11,ETS_MinT,90%,WLS_VAR_OR,0.5375493916818941,1.298666073065088,23.040109428135477,0.7629445861227372
11,ETS_MinT,95%,WLS_VAR_OR,0.6128394946040076,1.7792419942532902,39.55314638131012,0.8028739280353852
11,ETS_MinT,99%,WLS_VAR_OR,0.728064626965906,2.8893530591148777,137.90096023613646,0.8633371855792671
12,ETS_MinT,90%,WLS_VAR_OR,0.5966382420465727,0.7095732636211215,9.102194957042416,0.6145228418730491
12,ETS_MinT,95%,WLS_VAR_OR,0.6372370332193226,0.8720068542488357,16.835690356543132,0.654603673364195
12,ETS_MinT,99%,WLS_VAR_OR,0.7053389870215058,1.2161401704746784,68.35681328501677,0.7205630879991116
